address,chain_id,owner,token_id,token_uri,contract_type
0x3D085869f5d0AE1f5De932e40B2397A75f1eD2a7,137,0x4Bb96091Ee9D802ED039C4D1a5f6216F90f81B01,236610,QmUWoeB5LCcd86GBaRsjZSmYEPYoD4z9zgUu1SX4rfAWLb,ERC1155
0x3CC5D85D886726847eFfF216E264149d97493D08,137,0x4Bb96091Ee9D802ED039C4D1a5f6216F90f81B01,1,QmYAZsxmk2viPboDiuHt1t4BfAUysMEEDtLrgAwTzHb19x,ERC1155
0x2B9B65cB381EE1D0045ea329a87940B1f7a5AbBd,137,0x4Bb96091Ee9D802ED039C4D1a5f6216F90f81B01,414,bafybeigcke5xtdpabz5hlnfxcmvcupakg3rfno7gwh2as,ERC1155
0x4f202C25Bd857F39A7e925aAD42396a868B2Ff74,137,0x8CE8c13D816FE6daf12d6fD9e4952e1Fc88850AF,0,Qmf62XbXgw35zcyeaBP4BWCaE5u7QZ1RpUiBng43hxGuXq,ERC1155
0xFfd59c9408895369187279a542B793A6D45b5c2d,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,1,bafybeigtsc6afnzqqsxpezf25m74kkb2xv7llddizjsxa,ERC1155
0xfEeE523bF9fcBF9ca55EB25d78b7317B10555c2c,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,881,QmQN5F87oRERxhnCt1zyy1X4ouQ5LQWM6aF19EyvtHnHrX,ERC1155
0xFEd18f3A300697cA5f135864E7886B29A354FB67,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,1,QmdzuNfzFQHbsimj8jvY7kUpy6jWxa5taeDzuDs7g2rSbf,ERC1155
0xfe71c604285870C94D5F7B0F33Fc0cb6D8e41271,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,1,bafybeihbxq6dk74cn2nqy4b4afs64obmgclsxinp7fzj5,ERC1155
0xFE3A726a83645432277102BC0e803CcFaFEAA02e,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,1,QmWHJGVnb1kaYFcUBiJ8wqL8N4GUCjTApoy7bFyUeXS8EM,ERC1155
0xfC3c0874937E95B8107BC6ca7dbFa8b33998610e,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,1,bafybeiam5crgtllslbjhu536q2fx76cefc5hg656nvoj2,ERC1155
0xF9999cd36719abAb521f16dcE177845802C17aD6,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,1,QmWHJGVnb1kaYFcUBiJ8wqL8N4GUCjTApoy7bFyUeXS8EM,ERC1155
0xf935797270eAA6e9034f3189438C9739D93B65C3,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,1,bafybeif46ij3cdimanj2x76kdjmzub7roaz623qtehx4k,ERC1155
0xF9250F1fcd3D2BCFEaecD24Bc15B0be6e4e389cF,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,1,QmThUEfjcVKe5D58DvSfKiVxnhgt1TCNdj4bQGvzh1jUmc,ERC1155
0xf6B77882fcAd5c1F560f884631C9D4371c712E1D,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,1,QmcyR5JnmVQedB9CRFMDuTNPEZCUkugkNPPzyAz8S8sQZ7,ERC1155
0xf52e1089C312c23Cbc616BcDDb3E7720fA38DD31,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,1,QmSFLXPSW656BKx9DFUXiNXZTUDHqFL5WUZSiqUvivzq8p,ERC1155
0xF2D5303aD579D5e1c0aa68827dc65ee95689F0d7,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,1,bafybeicnyaxamz5sj3dfme6ldkvftfb2vp7t5twpcikr7,ERC1155
0xf20a82e5b69a141f6835b1482dC692929373c976,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,1,QmXKP9kTYpHUheokpomzuZhnup5VTJ3KERNEs5h9EWTQaB,ERC1155
0xf12f485a69350728368581f47b4e56dEe90c62f4,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,1,Qmdx9pPyFFx1wafqCvLgR356LXHZ7B3jnnfzC9zH8YwNb4,ERC1155
0xf0d89e05d548ef0b95DA4ce4bc10c9764249F86e,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,1,QmWHJGVnb1kaYFcUBiJ8wqL8N4GUCjTApoy7bFyUeXS8EM,ERC1155
0xeFf98455Bbf0742e3Eb8469a0FC5097C4c8164Ae,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,1,Qma22cAXa8b19D4RpQCgtH8wUuZmyR94VfS6eihTTzL2md,ERC1155
